Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
65.29,31.3,3.41,1.62,-9.9,-9.9,3,0.0517692,0.336311583,-1.748404915,0.179897384,1.582345909,38.22486049,0.000442417,,,,,,,,,,1.16E-05
43.54,42.74,13.71,1.62,-9.9,-9.9,3,0.069659601,0.345953466,-2.028289348,0.144045148,1.012412265,10.28992632,0.000119096,,,,,,,,,,
68.97,25.54,5.49,1.62,-9.9,-9.9,3,0.054796985,0.340851487,-1.717539378,0.181166806,1.590637039,38.96162294,0.000450945,,,,,,,,,,
84.26,15.74,0,1.62,-9.9,-9.9,3,0.046006793,0.338183123,-1.538879044,0.308460688,2.257722707,181.0183938,0.00209512,,,,,,,,,,
58.3,32.97,8.73,1.62,-9.9,-9.9,3,0.060304009,0.342253663,-1.841247332,0.1554844,1.319227609,20.85583628,0.000241387,,,,,,,,,,
72.76,27.24,0,1.62,-9.9,-9.9,3,0.046691124,0.333564352,-1.654326863,0.215996413,1.844149797,69.84732802,0.000808418,,,,,,,,,,
62.65,28.8,8.55,1.62,-9.9,-9.9,3,0.059928035,0.343401568,-1.793526776,0.159901408,1.387839363,24.42526943,0.0002827,,,,,,,,,,
87.06,12.94,0,1.62,-9.9,-9.9,3,0.045856978,0.339323923,-1.512413677,0.349770982,2.400936863,251.7310939,0.002913554,,,,,,,,,,
84.23,15.77,0,1.62,-9.9,-9.9,3,0.046008485,0.338170694,-1.539166384,0.30806921,2.256277516,180.4170245,0.00208816,,,,,,,,,,
64.21,35.79,0,1.62,-9.9,-9.9,3,0.047117327,0.33120399,-1.748967318,0.190366406,1.677902373,47.63238998,0.000551301,,,,,,,,,,
67.37,32.63,0,1.62,-9.9,-9.9,3,0.046969902,0.331924242,-1.712916211,0.197316036,1.72896867,53.57580065,0.00062009,,,,,,,,,,
63.73,36.27,0,1.62,-9.9,-9.9,3,0.047138944,0.331110962,-1.75456494,0.189516456,1.671037738,46.88541214,0.000542655,,,,,,,,,,
78.49,21.51,0,1.62,-9.9,-9.9,3,0.046353489,0.33576625,-1.595410969,0.249930554,2.016784171,103.9403491,0.001203013,,,,,,,,,,
92.45,7.55,0,1.62,-9.9,-9.9,3,0.045595931,0.341485354,-1.464799418,0.455015771,2.708541453,511.1418647,0.005915994,,,,,,,,,,
59.35,32.93,7.72,1.62,-9.9,-9.9,3,0.058602331,0.341036574,-1.827046472,0.158993692,1.362911161,23.0627537,0.00026693,,,,,,,,,,
67.2,32.8,0,1.62,-9.9,-9.9,3,0.046978093,0.331880773,-1.714821665,0.19687726,1.725943592,53.20391513,0.000615786,,,,,,,,,,
36.37,47.08,16.54,1.62,-9.9,-9.9,3,0.075509877,0.349979416,-2.114073839,0.142043666,0.884003744,7.656032071,8.86E-05,,,,,,,,,,
43.15,43.8,13.04,1.62,-9.9,-9.9,3,0.0684093,0.345091499,-2.033285556,0.14594101,1.030449521,10.72628967,0.000124147,,,,,,,,,,
61.02,33.3,5.68,1.62,-9.9,-9.9,3,0.055305232,0.338463647,-1.802923502,0.166437205,1.447328536,28.010995,0.000324201,,,,,,,,,,
66.35,27.78,5.86,1.62,-9.9,-9.9,3,0.055458441,0.340459521,-1.745794499,0.173852352,1.527885354,33.71982826,0.000390276,,,,,,,,,,
55.39,33.6,11.01,1.62,-9.9,-9.9,3,0.064315285,0.344835582,-1.878891499,0.148237734,1.216479993,16.46190128,0.000190531,,,,,,,,,,
